en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
subcontractor,分包商,civil,1.0,sub-tenant [civil] sim=0.835,sub-lease [civil] sim=0.801,sub-mortgage [civil] sim=0.759,sublease [civil] sim=0.732,subrogation [civil] sim=0.728,co-tenant [civil] sim=0.726,contractual [civil] sim=0.700,
sublet,分租,civil,1.0,sublease [civil] sim=0.859,sub-lease [civil] sim=0.839,sub-tenant [civil] sim=0.836,under-lease [civil] sim=0.775,tenant [civil] sim=0.743,co-tenant [civil] sim=0.742,sub-mortgage [civil] sim=0.735,
sub-licence,再授特許,civil,1.0,sub-lease [civil] sim=0.836,sub-tenant [civil] sim=0.815,sub-mortgage [civil] sim=0.768,under-lease [civil] sim=0.705,sublease [civil] sim=0.704,subrogation [civil] sim=0.699,co-tenant [civil] sim=0.680,
sub-rental,分租,civil,1.0,sub-lease [civil] sim=0.908,sub-tenant [civil] sim=0.904,sublease [civil] sim=0.852,sub-mortgage [civil] sim=0.823,under-lease [civil] sim=0.808,co-tenant [civil] sim=0.774,landlord [civil] sim=0.768,
sub-tenancy,住宅分租租賃,civil,1.0,sub-tenant [civil] sim=0.929,sub-lease [civil] sim=0.903,sublease [civil] sim=0.841,under-lease [civil] sim=0.823,sub-mortgage [civil] sim=0.821,co-tenant [civil] sim=0.819,tenant [civil] sim=0.796,
sub-trust,衍生信託,civil,1.0,sub-mortgage [civil] sim=0.819,sub-tenant [civil] sim=0.816,sub-lease [civil] sim=0.808,co-trustee [civil] sim=0.765,trusteeship [civil] sim=0.759,subrogation [civil] sim=0.750,trustee [civil] sim=0.749,
subvention,民間團體機構的資助,civil,1.0,subrogation [civil] sim=0.741,sub-mortgage [civil] sim=0.684,sub-lease [civil] sim=0.682,indemnity [civil] sim=0.678,underlease [civil] sim=0.672,sub-tenant [civil] sim=0.668,distort [civil] sim=0.649,
tacit,不宣的,civil,1.0,contractual [civil] sim=0.648,pledged [civil] sim=0.644,intestate [civil] sim=0.644,innovation [civil] sim=0.637,testamentary [civil] sim=0.637,patented [civil] sim=0.635,patentable [civil] sim=0.635,
tenancy,租賃,civil,1.0,tenant [civil] sim=0.867,landlord [civil] sim=0.835,leasehold [civil] sim=0.801,co-tenant [civil] sim=0.795,leaseholder [civil] sim=0.791,leased [civil] sim=0.789,tenantable [civil] sim=0.782,
tenement,享有的房地產權利,civil,1.0,landlord [civil] sim=0.714,tenant [civil] sim=0.710,bailment [civil] sim=0.693,tenantable [civil] sim=0.659,co-tenant [civil] sim=0.656,leasehold [civil] sim=0.655,sub-tenant [civil] sim=0.651,
trigamy,三配偶,civil,1.0,testation [civil] sim=0.666,divorcement [civil] sim=0.653,palimony [civil] sim=0.651,alimony [civil] sim=0.637,divorce [civil] sim=0.626,de bonis testatoris ac si [civil] sim=0.614,adoption [civil] sim=0.604,
underwrite,直接承保,civil,1.0,underlease [civil] sim=0.735,under-lease [civil] sim=0.729,sub-mortgage [civil] sim=0.697,sub-tenant [civil] sim=0.693,contractually [civil] sim=0.690,sub-lease [civil] sim=0.686,sublease [civil] sim=0.681,
valuation,估值,civil,1.0,valuable consideration [civil] sim=0.757,beneficiary [civil] sim=0.660,inheritance [civil] sim=0.659,suretyship [civil] sim=0.656,surety [civil] sim=0.653,restitution [civil] sim=0.651,restitutionary [civil] sim=0.648,
wash sale,對銷交易,civil,1.0,restitution [civil] sim=0.691,restitutionary [civil] sim=0.676,ex-tenant [civil] sim=0.660,unleased land [civil] sim=0.643,re-mortgage [civil] sim=0.628,unleased [civil] sim=0.621,underlease [civil] sim=0.618,
windfall,意外收獲,civil,1.0,inheritance [civil] sim=0.687,beneficiary [civil] sim=0.685,restitution [civil] sim=0.633,trustee [civil] sim=0.620,Land Titles Indemnity Fund [civil] sim=0.618,succession [civil] sim=0.614,testamentary [civil] sim=0.614,
designated account,指定帳户,civil,1.0,sub-tenant [civil] sim=0.670,co-tenant [civil] sim=0.649,Official Trustee [civil] sim=0.647,sub-mortgage [civil] sim=0.646,leased [civil] sim=0.643,sub-lease [civil] sim=0.642,tenant [civil] sim=0.630,
running-account credit agreement,流水帳目借貸協議,civil,1.0,leaseback [civil] sim=0.636,sub-mortgage [civil] sim=0.633,sub-lease [civil] sim=0.620,radical breach of contract [civil] sim=0.611,guarantor [civil] sim=0.609,under-lease [civil] sim=0.609,pre-contractual document [civil] sim=0.607,
coastal amenity,海岸設施,civil,1.0,easement [civil] sim=0.620,tenantable [civil] sim=0.602,tenant [civil] sim=0.591,landlord [civil] sim=0.590,nuisance [civil] sim=0.585,appurtenant [civil] sim=0.584,valuable consideration [civil] sim=0.580,
the assured,受保人,civil,1.0,surety [civil] sim=0.736,suretyship [civil] sim=0.729,pledged [civil] sim=0.681,co-surety [civil] sim=0.653,pledge [civil] sim=0.642,valuable consideration [civil] sim=0.640,tenantable [civil] sim=0.639,
zero coupon bond,零息債券,civil,1.0,leaseback [civil] sim=0.643,sub-mortgage [civil] sim=0.638,leasehold [civil] sim=0.632,leased [civil] sim=0.621,dead pledge [civil] sim=0.621,re-mortgage [civil] sim=0.617,mortgaged [civil] sim=0.616,
turnkey contract,整套承包合約,civil,1.0,contractual [civil] sim=0.742,contractually [civil] sim=0.697,pre-contractual document [civil] sim=0.694,radical breach of contract [civil] sim=0.690,non-contractual [civil] sim=0.678,suretyship [civil] sim=0.662,tenantable [civil] sim=0.653,
revolving credit,循環信貸,civil,1.0,sub-mortgage [civil] sim=0.673,re-mortgage [civil] sim=0.648,leaseback [civil] sim=0.644,mortgage [civil] sim=0.632,mortgaged [civil] sim=0.627,tenantable [civil] sim=0.610,leased [civil] sim=0.609,
hedonic damages,喪失在生樂趣的損害賠償,civil,1.0,restitution [civil] sim=0.653,trespass de bonis asportatis [civil] sim=0.651,indemnity [civil] sim=0.650,on indemnity basis [civil] sim=0.650,advertent negligence [civil] sim=0.645,ex-tenant [civil] sim=0.641,tenant [civil] sim=0.641,
vindictive damages,懲罰性損害賠償,civil,1.0,inadvertent negligence [civil] sim=0.719,negligent misrepresentation [civil] sim=0.716,repudiatory breach of contract [civil] sim=0.706,negligence [civil] sim=0.701,defamation [civil] sim=0.701,radical breach of contract [civil] sim=0.700,advertent negligence [civil] sim=0.698,
mitigation-of-damages doctrine,減輕損害賠償的原則〔原告人應減低有關傷害或違約事後所造成的影響〕,civil,1.0,on indemnity basis [civil] sim=0.694,contributory negligence [civil] sim=0.688,restitution [civil] sim=0.673,indemnity [civil] sim=0.671,negligent misrepresentation [civil] sim=0.660,subrogation [civil] sim=0.654,restitutionary [civil] sim=0.653,
lend money at interest,收息放貸,civil,1.0,sub-mortgage [civil] sim=0.688,mortgage [civil] sim=0.677,re-mortgage [civil] sim=0.669,sublease [civil] sim=0.644,mortgagee [civil] sim=0.637,underlease [civil] sim=0.633,mortgaged [civil] sim=0.633,
personally liable,須……承擔個人法律責任,civil,1.0,contributory negligence [civil] sim=0.756,inadvertent negligence [civil] sim=0.748,negligence [civil] sim=0.730,advertent negligence [civil] sim=0.708,tortious [civil] sim=0.684,on indemnity basis [civil] sim=0.684,negligent misrepresentation [civil] sim=0.683,
royalty-free licence,免專利權費的特許,civil,1.0,copyright [civil] sim=0.688,Copyright Register [civil] sim=0.668,patentability [civil] sim=0.621,patentable [civil] sim=0.621,intellectual property [civil] sim=0.617,patented [civil] sim=0.612,patent [civil] sim=0.607,
step parent,繼父母,civil,1.0,adoption [civil] sim=0.683,divorcement [civil] sim=0.658,divorce [civil] sim=0.656,legal custody [civil] sim=0.653,beneficiary [civil] sim=0.644,ex-tenant [civil] sim=0.629,inheritance [civil] sim=0.625,
second lowest price offered,次低出價,civil,1.0,sublease [civil] sim=0.654,underlease [civil] sim=0.642,valuable consideration [civil] sim=0.629,sub-mortgage [civil] sim=0.611,non-contractual [civil] sim=0.609,co-tenant [civil] sim=0.607,sub-lease [civil] sim=0.607,
unexpired tenancy,未滿期租賃,civil,1.0,ex-tenant [civil] sim=0.806,landlord [civil] sim=0.789,tenant [civil] sim=0.770,under-lease [civil] sim=0.742,co-tenant [civil] sim=0.736,leaseholder [civil] sim=0.727,sitting tenant [civil] sim=0.726,
inherited,世襲階級及相類似的世襲地位制度,civil,1.0,inheritance [civil] sim=0.888,intestate [civil] sim=0.771,succession [civil] sim=0.762,mortgaged [civil] sim=0.734,adoption [civil] sim=0.724,beneficiary [civil] sim=0.718,die intestate [civil] sim=0.704,
allottee,獲分配人,civil,1.0,intestate [civil] sim=0.679,testate [civil] sim=0.671,pledgee [civil] sim=0.661,mortgagee [civil] sim=0.653,beneficiary [civil] sim=0.650,executory [civil] sim=0.649,bailment [civil] sim=0.643,
annuitant,年金受益人,civil,1.0,fiduciary [civil] sim=0.715,testamentary [civil] sim=0.712,guarantor [civil] sim=0.703,beneficiary [civil] sim=0.694,executor [civil] sim=0.684,leaseholder [civil] sim=0.674,appurtenant [civil] sim=0.671,
apartment,床位寓所,civil,1.0,landlord [civil] sim=0.769,tenant [civil] sim=0.748,co-tenant [civil] sim=0.712,leased [civil] sim=0.704,under-lease [civil] sim=0.703,sublease [civil] sim=0.697,tenantable [civil] sim=0.697,
assure,保證,civil,1.0,surety [civil] sim=0.792,suretyship [civil] sim=0.757,pledge [civil] sim=0.681,co-surety [civil] sim=0.679,pledgee [civil] sim=0.648,distort [civil] sim=0.645,trusteeship [civil] sim=0.637,
broking,安排貨幣拆放,civil,1.0,mortgage [civil] sim=0.681,leasehold [civil] sim=0.680,mortgagee [civil] sim=0.673,re-mortgage [civil] sim=0.649,suretyship [civil] sim=0.646,guarantor [civil] sim=0.642,solicitor-trustee [civil] sim=0.642,
charitable,慈善信託,civil,1.0,pledged [civil] sim=0.714,beneficiary [civil] sim=0.696,pledge [civil] sim=0.696,restitutionary [civil] sim=0.684,trustee [civil] sim=0.677,testamentary [civil] sim=0.669,tortious [civil] sim=0.656,
co-lessee,共同承租人,civil,1.0,co-tenant [civil] sim=0.904,sub-tenant [civil] sim=0.800,tenant [civil] sim=0.783,co-trustee [civil] sim=0.780,co-surety [civil] sim=0.769,landlord [civil] sim=0.764,leaseholder [civil] sim=0.757,
curator bonis,財產保佐人,civil,1.0,de bonis testatoris ac si [civil] sim=0.640,de bonis testatoris [civil] sim=0.620,trespass de bonis asportatis [civil] sim=0.613,trustee [civil] sim=0.584,inter vivos [civil] sim=0.575,trespass quare clausum fregit [civil] sim=0.566,Official Trustee [civil] sim=0.563,
deficiency,不足之處,civil,1.0,underlease [civil] sim=0.640,distorted [civil] sim=0.637,distortion [civil] sim=0.631,inheritance [civil] sim=0.631,indemnity [civil] sim=0.625,testation [civil] sim=0.622,beneficiary [civil] sim=0.621,
depositary,保存通知,civil,1.0,testamentary [civil] sim=0.735,restitutionary [civil] sim=0.698,intestate [civil] sim=0.692,trusteeship [civil] sim=0.685,tenant [civil] sim=0.683,tenantable [civil] sim=0.681,executory [civil] sim=0.679,
depreciated,折舊價值,civil,1.0,mortgaged [civil] sim=0.712,distorted [civil] sim=0.692,unleased [civil] sim=0.677,leased [civil] sim=0.669,restitution [civil] sim=0.665,restitutionary [civil] sim=0.662,intestate [civil] sim=0.659,
directorship,董事席位,civil,1.0,trusteeship [civil] sim=0.764,executorship [civil] sim=0.703,trustee [civil] sim=0.702,co-trustee [civil] sim=0.698,succession [civil] sim=0.679,Official Trustee [civil] sim=0.678,solicitor-trustee [civil] sim=0.672,
dwelling-place,居住地方,civil,1.0,tenant [civil] sim=0.687,tenantable [civil] sim=0.663,co-tenant [civil] sim=0.660,landlord [civil] sim=0.656,leaseholder [civil] sim=0.649,trespasser [civil] sim=0.642,sitting tenant [civil] sim=0.639,
financing,提供……資金,civil,1.0,mortgage [civil] sim=0.795,sub-mortgage [civil] sim=0.716,re-mortgage [civil] sim=0.695,mortgaged [civil] sim=0.681,mortgagee [civil] sim=0.675,leasehold [civil] sim=0.667,leased [civil] sim=0.665,
fixed-pitch,固定攤位小販牌照,civil,1.0,distortion [civil] sim=0.639,patentable [civil] sim=0.638,mortgaged [civil] sim=0.628,leased [civil] sim=0.627,patented [civil] sim=0.622,contractual [civil] sim=0.622,unpatented [civil] sim=0.620,
gamete,配子,civil,1.0,testate [civil] sim=0.702,testation [civil] sim=0.702,intestate [civil] sim=0.657,executory [civil] sim=0.650,executor [civil] sim=0.633,beneficiary [civil] sim=0.630,divorcement [civil] sim=0.625,
give,給予……證據分量,civil,1.0,pledge [civil] sim=0.748,pledged [civil] sim=0.701,live pledge [civil] sim=0.698,beneficiary [civil] sim=0.695,adoption [civil] sim=0.684,pledgee [civil] sim=0.671,inheritance [civil] sim=0.660,
grandparent,繼祖父母或繼外祖父母,civil,1.0,inheritance [civil] sim=0.679,beneficiary [civil] sim=0.674,adoption [civil] sim=0.645,fiduciary [civil] sim=0.638,testamentary [civil] sim=0.638,succession [civil] sim=0.635,intestate [civil] sim=0.630,
interest rate-linked,利率掛鈎票據,civil,1.0,mortgaged [civil] sim=0.695,sub-mortgage [civil] sim=0.676,re-mortgage [civil] sim=0.650,mortgage [civil] sim=0.646,mortgagee [civil] sim=0.636,leaseback [civil] sim=0.630,leased [civil] sim=0.625,
inventor,共同發明人,civil,1.0,patentee [civil] sim=0.812,patented [civil] sim=0.763,patent [civil] sim=0.758,patentable [civil] sim=0.699,innovation [civil] sim=0.682,Letters Patent [civil] sim=0.679,patentability [civil] sim=0.660,
joint-stock,合股公司,civil,1.0,co-trustee [civil] sim=0.662,co-surety [civil] sim=0.660,re-mortgage [civil] sim=0.653,co-tenant [civil] sim=0.644,sub-mortgage [civil] sim=0.644,leasehold [civil] sim=0.640,sub-lease [civil] sim=0.636,
ledger,分類帳,civil,1.0,testamentary [civil] sim=0.711,surety [civil] sim=0.680,pledge [civil] sim=0.670,executory [civil] sim=0.663,beneficiary [civil] sim=0.661,fiduciary [civil] sim=0.651,intestate [civil] sim=0.651,
lending,掠奪性貸款,civil,1.0,mortgage [civil] sim=0.806,sub-mortgage [civil] sim=0.740,re-mortgage [civil] sim=0.724,mortgaged [civil] sim=0.720,mortgagee [civil] sim=0.712,leasehold [civil] sim=0.707,leased [civil] sim=0.692,
letting,獨立分租,civil,1.0,leasehold [civil] sim=0.797,landlord [civil] sim=0.777,leased [civil] sim=0.731,tenantable [civil] sim=0.724,tenant [civil] sim=0.724,leaseholder [civil] sim=0.718,under-lease [civil] sim=0.707,
notarial,經公證的譯本,civil,1.0,testamentary [civil] sim=0.777,surety [civil] sim=0.733,suretyship [civil] sim=0.730,attestation [civil] sim=0.727,probate [civil] sim=0.702,contractual [civil] sim=0.696,restitutionary [civil] sim=0.690,
perpetuity,財產恆繼,civil,1.0,testamentary [civil] sim=0.700,intestate [civil] sim=0.696,succession [civil] sim=0.686,die intestate [civil] sim=0.660,suretyship [civil] sim=0.659,executorship [civil] sim=0.658,surety [civil] sim=0.657,
philanthropic,公益,civil,1.0,pledged [civil] sim=0.707,pledge [civil] sim=0.675,trusteeship [civil] sim=0.674,trustee [civil] sim=0.662,innovation [civil] sim=0.655,inheritance [civil] sim=0.654,beneficiary [civil] sim=0.647,
possessor,逆權管有人,civil,1.0,leaseholder [civil] sim=0.760,tenant [civil] sim=0.737,trespasser [civil] sim=0.711,beneficiary [civil] sim=0.701,landlord [civil] sim=0.700,appurtenant [civil] sim=0.694,guarantor [civil] sim=0.694,
possessory,管有業權,civil,1.0,intestate [civil] sim=0.750,testamentary [civil] sim=0.728,tenantable [civil] sim=0.697,tenant [civil] sim=0.693,contractual [civil] sim=0.689,testation [civil] sim=0.688,trespass [civil] sim=0.686,
projected,預計的全面收益表,civil,1.0,pledged [civil] sim=0.714,distorted [civil] sim=0.706,distortion [civil] sim=0.678,mortgaged [civil] sim=0.670,leased [civil] sim=0.669,unleased [civil] sim=0.653,contractual [civil] sim=0.653,
rental,租金,civil,1.0,landlord [civil] sim=0.832,leased [civil] sim=0.813,tenant [civil] sim=0.791,tenantable [civil] sim=0.753,under-lease [civil] sim=0.743,co-tenant [civil] sim=0.732,leasehold [civil] sim=0.730,
rent-book,租金冊,civil,1.0,landlord [civil] sim=0.760,under-lease [civil] sim=0.713,tenant [civil] sim=0.712,sub-lease [civil] sim=0.706,leased [civil] sim=0.702,co-tenant [civil] sim=0.692,sub-tenant [civil] sim=0.686,
repayable,發還,civil,1.0,mortgaged [civil] sim=0.773,tenantable [civil] sim=0.744,patentable [civil] sim=0.730,pledged [civil] sim=0.725,beneficiary [civil] sim=0.722,testamentary [civil] sim=0.720,contractually [civil] sim=0.719,
