en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
Treaty on European Union,歐洲聯盟條約,0,0,0,international,0.5714,"{""international"": 4, ""constitutional"": 1, ""labor_social"": 1, ""administrative"": 1}"
trusteeship,託管,4,8,4,civil,0.7143,"{""civil"": 5, ""administrative"": 2}"
under-lease,分租租契,3,6,3,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
Vienna Convention on Consular Relations,維也納領事關係公約,1,1,1,international,0.8571,"{""international"": 6, ""constitutional"": 1}"
European Patent Office,歐洲專利局,4,4,4,civil,0.5714,"{""civil"": 4, ""labor_social"": 2, ""procedure"": 1}"
Hong Kong Laboratory Accreditation Scheme,香港實驗所認可計劃,4,8,4,administrative,0.7143,"{""administrative"": 5, ""procedure"": 2}"
distorted,以歪曲或貶損的方式,0,1,0,criminal,0.5714,"{""criminal"": 4, ""civil"": 2, ""administrative"": 1}"
tortious,基於侵權而提出的申索,5,0,0,criminal,0.7143,"{""criminal"": 5, ""civil"": 2}"
non-prosecution,上訴因遲滯進行而被駁回,4,1,1,criminal,0.5714,"{""administrative"": 1, ""criminal"": 4, ""international"": 1, ""procedure"": 1}"
leased,批租地區,8,6,6,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
Treaties on Asylum,庇護條約,0,0,0,international,0.4286,"{""international"": 3, ""civil"": 1, ""procedure"": 2, ""constitutional"": 1}"
non-contractual,非合約或有出資義務,2,0,0,civil,0.2857,"{""civil"": 2, ""international"": 2, ""administrative"": 1, ""labor_social"": 2}"
pledged,質押存款,8,1,1,civil,0.5714,"{""civil"": 4, ""international"": 1, ""labor_social"": 1, ""procedure"": 1}"
joinder of issue,默示就……有爭論點提出,6,0,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 1, ""civil"": 2, ""labor_social"": 1}"
unleased,佔用未批租土地,8,8,8,criminal,0.4286,"{""labor_social"": 2, ""criminal"": 3, ""administrative"": 1, ""procedure"": 1}"
rule of law,法治,8,0,0,criminal,0.2857,"{""criminal"": 2, ""constitutional"": 2, ""international"": 1, ""administrative"": 2}"
stratification,社會分層,7,1,1,labor_social,0.4286,"{""constitutional"": 2, ""labor_social"": 3, ""civil"": 2}"
Administrative Secretary,政務司長,0,0,0,administrative,0.4286,"{""administrative"": 3, ""labor_social"": 3, ""constitutional"": 1}"
criminally,構成刑事罪行,5,5,5,criminal,1.0,"{""criminal"": 7}"
non-parole,不准假釋期,0,0,0,criminal,0.7143,"{""administrative"": 1, ""international"": 1, ""criminal"": 5}"
actus reus,犯罪行為,0,8,0,international,0.2857,"{""constitutional"": 1, ""international"": 2, ""criminal"": 1, ""labor_social"": 1, ""procedure"": 1, ""civil"": 1}"
co-tenant,共有人,0,8,0,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
criminalise,刑事化,0,0,0,criminal,1.0,"{""criminal"": 7}"
disenfranchise,剝奪權利,0,0,0,constitutional,0.7143,"{""criminal"": 1, ""constitutional"": 5, ""labor_social"": 1}"
enfranchisement,賦權予租客購置批租土地的永久產權,0,0,0,constitutional,0.7143,"{""constitutional"": 5, ""labor_social"": 1, ""administrative"": 1}"
mens rea,犯罪意圖,0,0,0,criminal,0.2857,"{""criminal"": 2, ""procedure"": 1, ""constitutional"": 1, ""civil"": 2, ""labor_social"": 1}"
gratification,變態的性滿足,0,0,0,labor_social,0.2857,"{""labor_social"": 2, ""constitutional"": 1, ""administrative"": 2, ""criminal"": 2}"
quasi-penal,類似懲罰性,0,0,0,criminal,1.0,"{""criminal"": 7}"
sentencing,量刑指引,8,0,0,criminal,1.0,"{""criminal"": 7}"
going equipped for burglary,外出時備有入屋犯法用的物品,0,0,0,criminal,0.4286,"{""international"": 2, ""criminal"": 3, ""administrative"": 1, ""labor_social"": 1}"
restitutionary,復還性質的補救方法,0,0,0,civil,0.7143,"{""civil"": 5, ""international"": 1, ""criminal"": 1}"
Sexual Conviction Record Check Scheme,性罪行定罪紀錄查核機制,0,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""civil"": 1}"
quasi-class action,類似集體訴訟,0,0,0,civil,0.2857,"{""civil"": 2, ""administrative"": 2, ""criminal"": 1, ""procedure"": 2}"
appellate,審理上訴的法官,8,0,0,procedure,0.7143,"{""procedure"": 5, ""criminal"": 1, ""civil"": 1}"
criminality,刑責,0,0,0,criminal,1.0,"{""criminal"": 7}"
incarceration,監禁,0,8,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
patently,明顯欠缺論據的陳詞,0,0,0,criminal,0.4286,"{""civil"": 1, ""criminal"": 3, ""procedure"": 2, ""administrative"": 1}"
pre-sentencing,判刑前的報告,0,0,0,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
recidivist,屢犯者,0,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
European Court of Human Rights,歐洲人權法院,0,0,0,constitutional,0.2857,"{""constitutional"": 2, ""civil"": 1, ""international"": 2, ""criminal"": 1, ""procedure"": 1}"
post-release,釋後監管,2,0,0,procedure,0.2857,"{""procedure"": 2, ""civil"": 2, ""administrative"": 1, ""criminal"": 1, ""labor_social"": 1}"
recidivism,再犯風險,0,0,0,criminal,1.0,"{""criminal"": 7}"
European Convention on Human Rights,《歐洲人權公約》,0,0,0,constitutional,0.4286,"{""constitutional"": 3, ""civil"": 1, ""international"": 3}"
criminalisation,過度刑事化,0,0,0,criminal,1.0,"{""criminal"": 7}"
innovation,創新科技及工業局局長,8,0,0,labor_social,0.4286,"{""civil"": 2, ""administrative"": 1, ""labor_social"": 3, ""international"": 1}"
China National Intellectual Property Administration,國家知識產權局,4,4,4,civil,0.5714,"{""civil"": 4, ""procedure"": 1, ""labor_social"": 1, ""administrative"": 1}"
International Labour Conference,國際勞工大會,0,0,0,international,0.4286,"{""labor_social"": 1, ""international"": 3, ""constitutional"": 2, ""procedure"": 1}"
sublease,分租租約,7,2,2,civil,0.8571,"{""civil"": 6, ""procedure"": 1}"
distort,歪曲,3,4,3,criminal,0.7143,"{""criminal"": 5, ""civil"": 1, ""administrative"": 1}"
Multilateral Investment Guarantee Agency,多邊投資擔保機構,1,1,1,international,0.5714,"{""international"": 4, ""procedure"": 1, ""civil"": 2}"
"""as-is"" condition","""原樣""狀況",0,0,0,procedure,0.5714,"{""constitutional"": 1, ""procedure"": 4, ""administrative"": 2}"
"""that is to say"" clause","""即是""條款",0,0,0,procedure,0.7143,"{""procedure"": 5, ""international"": 1, ""criminal"": 1}"
a posteriori,憑經驗,0,2,0,international,0.2857,"{""administrative"": 1, ""international"": 2, ""procedure"": 2, ""civil"": 2}"
a priori,先驗,3,0,0,administrative,0.2857,"{""administrative"": 2, ""procedure"": 2, ""international"": 1, ""civil"": 2}"
a quo,來自,8,8,8,administrative,0.2857,"{""administrative"": 2, ""constitutional"": 2, ""procedure"": 1, ""criminal"": 1, ""international"": 1}"
Ab assuetis non fit injuria.,早已默許之事不能構成損害,0,0,0,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""procedure"": 2, ""civil"": 1}"
ab initio,由最初開始,6,0,0,administrative,0.5714,"{""procedure"": 2, ""administrative"": 4, ""labor_social"": 1}"
abandonment,拋棄,8,8,8,civil,0.4286,"{""procedure"": 1, ""labor_social"": 1, ""civil"": 3, ""criminal"": 2}"
abate,中止,8,8,8,procedure,0.4286,"{""administrative"": 2, ""labor_social"": 1, ""procedure"": 3, ""criminal"": 1}"
abatement,減除,8,8,8,administrative,0.5714,"{""administrative"": 4, ""criminal"": 2, ""civil"": 1}"
abdicate,正式放棄,0,2,0,criminal,0.4286,"{""criminal"": 3, ""labor_social"": 1, ""procedure"": 1, ""administrative"": 2}"
aberrant,異常,0,8,0,criminal,1.0,"{""criminal"": 7}"
aberration,心理失常,0,0,0,civil,0.2857,"{""administrative"": 1, ""civil"": 2, ""procedure"": 2, ""criminal"": 1, ""international"": 1}"
abet,教唆,0,8,0,civil,0.4286,"{""administrative"": 2, ""constitutional"": 1, ""procedure"": 1, ""civil"": 3}"
abeyance,懸空,2,8,2,procedure,0.2857,"{""procedure"": 2, ""criminal"": 2, ""international"": 2, ""administrative"": 1}"
abeyant property,無歸屬財產,0,0,0,civil,1.0,"{""civil"": 7}"
abide by,堅持,8,8,8,administrative,0.4286,"{""administrative"": 3, ""procedure"": 1, ""civil"": 1, ""labor_social"": 1, ""criminal"": 1}"
abjudge,藉判決褫奪,0,0,0,criminal,0.5714,"{""criminal"": 4, ""procedure"": 2, ""administrative"": 1}"
abjure,宣布放棄,0,0,0,criminal,0.7143,"{""criminal"": 5, ""administrative"": 1, ""procedure"": 1}"
abnepos,玄孫子,0,0,0,constitutional,0.5714,"{""international"": 2, ""constitutional"": 4, ""criminal"": 1}"
abneptis,玄孫女,0,0,0,international,0.4286,"{""procedure"": 2, ""international"": 3, ""constitutional"": 1, ""civil"": 1}"
abode,居籍,8,8,8,civil,0.7143,"{""civil"": 5, ""labor_social"": 1, ""administrative"": 1}"
abridge,縮短,8,8,8,criminal,0.4286,"{""administrative"": 2, ""criminal"": 3, ""procedure"": 2}"
abridgement,削減,8,8,8,procedure,0.4286,"{""administrative"": 2, ""procedure"": 3, ""civil"": 1, ""criminal"": 1}"
abrogate,取消,0,8,0,criminal,0.5714,"{""criminal"": 4, ""administrative"": 2, ""constitutional"": 1}"
abrogation,減損特權,8,0,0,criminal,0.7143,"{""administrative"": 1, ""criminal"": 5, ""procedure"": 1}"
abscond,棄保潛逃,5,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
absence of a party,與訟一方缺席,7,0,0,administrative,0.4286,"{""constitutional"": 1, ""criminal"": 1, ""administrative"": 3, ""labor_social"": 1, ""civil"": 1}"
absente reo,被告人缺席,0,8,0,administrative,0.5714,"{""administrative"": 4, ""labor_social"": 2, ""civil"": 1}"
absolute,全權,8,8,8,criminal,0.4286,"{""constitutional"": 2, ""procedure"": 2, ""criminal"": 3}"
absolutely,完全,8,8,8,procedure,0.4286,"{""constitutional"": 2, ""labor_social"": 1, ""procedure"": 3, ""criminal"": 1}"
absolve,免除法律責任,1,1,1,procedure,0.7143,"{""procedure"": 5, ""constitutional"": 1, ""criminal"": 1}"
abstain,放棄表決,8,4,4,criminal,0.2857,"{""labor_social"": 1, ""criminal"": 2, ""constitutional"": 1, ""procedure"": 1, ""administrative"": 2}"
abstract of title,業權證明書摘要,0,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 1, ""administrative"": 2}"
Abundans cautela non nocet.,再多的謹慎也不會造成損害,0,0,0,criminal,0.7143,"{""administrative"": 1, ""criminal"": 5, ""procedure"": 1}"
abuse,濫用,8,8,8,criminal,1.0,"{""criminal"": 7}"
acceptance,承擔,8,8,8,procedure,0.5714,"{""administrative"": 1, ""procedure"": 4, ""international"": 1, ""civil"": 1}"
acceptation,詞語的公認意義,0,0,0,procedure,0.5714,"{""administrative"": 1, ""procedure"": 4, ""international"": 1, ""civil"": 1}"
access,有權接觸,8,4,4,administrative,0.4286,"{""procedure"": 1, ""administrative"": 3, ""labor_social"": 1, ""civil"": 2}"
accomplished fact,既成事實,0,0,0,procedure,0.5714,"{""constitutional"": 1, ""procedure"": 4, ""civil"": 1, ""criminal"": 1}"
accord,和解,8,8,8,international,0.4286,"{""international"": 3, ""civil"": 3, ""procedure"": 1}"
account,帳號,8,1,1,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 3, ""administrative"": 1}"
accounting,會計,8,8,8,administrative,0.4286,"{""administrative"": 3, ""labor_social"": 3, ""procedure"": 1}"
accreditation,評審,8,8,8,administrative,0.8571,"{""administrative"": 6, ""procedure"": 1}"
accredited mediator,認可調解員,0,0,0,procedure,0.5714,"{""procedure"": 4, ""international"": 2, ""administrative"": 1}"
accredited to a licensed corporation,隸屬某持牌法團,0,0,0,administrative,0.5714,"{""administrative"": 4, ""civil"": 1, ""procedure"": 1, ""constitutional"": 1}"
accretion,增值,8,8,8,administrative,0.2857,"{""administrative"": 2, ""criminal"": 1, ""international"": 2, ""constitutional"": 1, ""procedure"": 1}"
accrual,孳生,8,8,8,labor_social,0.7143,"{""labor_social"": 5, ""administrative"": 1, ""civil"": 1}"
accrue,形成,8,8,8,labor_social,0.7143,"{""labor_social"": 5, ""civil"": 2}"
accumulating trust,累積性信託,0,0,0,civil,0.5714,"{""civil"": 4, ""procedure"": 1, ""administrative"": 1, ""labor_social"": 1}"
accusatorial procedure,舉證式司法程序,0,0,0,procedure,0.4286,"{""administrative"": 1, ""procedure"": 3, ""criminal"": 3}"
acknowledge,確認,8,8,8,procedure,0.7143,"{""administrative"": 1, ""procedure"": 5, ""labor_social"": 1}"
acknowledgment,確認,8,8,8,labor_social,0.4286,"{""administrative"": 1, ""labor_social"": 3, ""procedure"": 1, ""civil"": 1, ""international"": 1}"
acquiesce,默許,2,8,2,procedure,0.4286,"{""procedure"": 3, ""administrative"": 2, ""criminal"": 2}"
acquisition,取得,8,8,8,civil,0.7143,"{""civil"": 5, ""international"": 1, ""criminal"": 1}"
acquit,判……無罪,6,0,0,criminal,0.7143,"{""procedure"": 2, ""criminal"": 5}"
act,法,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""civil"": 1, ""labor_social"": 2, ""administrative"": 1}"
Acta exteriora indicant interiora secreta.,外在行為揭示內心秘密,0,0,0,criminal,0.5714,"{""constitutional"": 1, ""criminal"": 4, ""civil"": 2}"
acta jure gestionis,商業行為,0,0,0,constitutional,0.2857,"{""constitutional"": 2, ""civil"": 2, ""international"": 1, ""administrative"": 1, ""labor_social"": 1}"
acta jure imperii,主權行為,0,0,0,administrative,0.2857,"{""constitutional"": 1, ""administrative"": 2, ""civil"": 1, ""international"": 1, ""criminal"": 1, ""procedure"": 1}"
acting under dictation,受主使而行事,0,0,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 3, ""constitutional"": 1}"
Actio non datur non damnificato.,不受損害者無權興訟,0,0,0,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""constitutional"": 1, ""administrative"": 2}"
Actio personalis moritur cum persona.,個人的訴訟隨當事人去世而告終,0,0,0,civil,0.4286,"{""constitutional"": 1, ""civil"": 3, ""international"": 1, ""labor_social"": 1, ""administrative"": 1}"
action,涉物訴訟,8,0,0,labor_social,0.5714,"{""international"": 1, ""labor_social"": 4, ""constitutional"": 1, ""criminal"": 1}"
actionable,可導致訴訟,8,0,0,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""procedure"": 1, ""criminal"": 1, ""constitutional"": 1}"
active waste,主動性損耗,6,0,0,administrative,0.2857,"{""administrative"": 2, ""constitutional"": 2, ""civil"": 1, ""international"": 1, ""labor_social"": 1}"
Actori incumbit onus probandi.,舉證責任在原告人,0,0,0,criminal,0.4286,"{""civil"": 1, ""criminal"": 3, ""labor_social"": 2, ""procedure"": 1}"
actual,實質,8,8,8,criminal,0.2857,"{""constitutional"": 1, ""criminal"": 2, ""labor_social"": 2, ""procedure"": 2}"
actuary,保險精算師,8,0,0,labor_social,0.5714,"{""constitutional"": 1, ""administrative"": 2, ""labor_social"": 4}"
Actus Dei nemini facit injuriam.,天災造成的損害不能歸咎於人,0,0,0,procedure,0.2857,"{""constitutional"": 1, ""procedure"": 2, ""civil"": 2, ""international"": 1, ""criminal"": 1}"
ad colligenda bona defuncti,保障遺產的特殊管理書,0,0,0,procedure,0.4286,"{""procedure"": 3, ""civil"": 3, ""criminal"": 1}"
ad diem,在指定日期,0,8,0,labor_social,0.7143,"{""labor_social"": 5, ""administrative"": 1, ""criminal"": 1}"
ad finem; ad fin.,直至完結,0,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 2, ""international"": 1, ""civil"": 1}"
ad hoc,特設,1,8,1,international,0.2857,"{""administrative"": 1, ""constitutional"": 1, ""international"": 2, ""procedure"": 1, ""labor_social"": 1, ""civil"": 1}"
ad idem,一致,0,8,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 2, ""civil"": 1, ""international"": 1}"
ad infinitum,永遠,0,8,0,procedure,0.5714,"{""constitutional"": 1, ""procedure"": 4, ""civil"": 1, ""administrative"": 1}"
ad litem,為了訴訟的目,8,0,0,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""constitutional"": 1, ""civil"": 1}"
ad rem,得其要領,7,0,0,criminal,0.2857,"{""labor_social"": 1, ""procedure"": 1, ""criminal"": 2, ""constitutional"": 1, ""international"": 1, ""civil"": 1}"
ad valorem,從價,4,4,4,procedure,0.4286,"{""procedure"": 3, ""civil"": 2, ""labor_social"": 1, ""criminal"": 1}"
addendum,補遺,5,1,1,procedure,0.5714,"{""labor_social"": 1, ""procedure"": 4, ""international"": 1, ""civil"": 1}"
new party ... be added,新的一方加入,0,4,0,constitutional,0.4286,"{""constitutional"": 3, ""procedure"": 3, ""civil"": 1}"
address,地址,8,8,8,labor_social,0.4286,"{""administrative"": 1, ""labor_social"": 3, ""civil"": 2, ""procedure"": 1}"
adeem,廢除,0,8,0,procedure,0.4286,"{""procedure"": 3, ""labor_social"": 1, ""criminal"": 3}"
ademption of gift,撤銷贈與,0,0,0,civil,0.8571,"{""civil"": 6, ""administrative"": 1}"
adequate and proper record,充分和妥善的紀錄,0,0,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 3, ""international"": 1}"
adequately,充分地,8,8,8,procedure,0.4286,"{""procedure"": 3, ""administrative"": 1, ""constitutional"": 1, ""criminal"": 1, ""labor_social"": 1}"
adhesion contract,定式合約,0,0,0,labor_social,0.2857,"{""labor_social"": 2, ""civil"": 2, ""international"": 1, ""procedure"": 2}"
adjective law,程序法,0,4,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 1, ""civil"": 3}"
adjoin,鄰接土地,5,4,4,international,0.4286,"{""international"": 3, ""constitutional"": 3, ""civil"": 1}"
adjourn,延期,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""criminal"": 2, ""administrative"": 1, ""procedure"": 1}"
adjudge,被判定破產,8,8,8,procedure,0.5714,"{""procedure"": 4, ""criminal"": 2, ""administrative"": 1}"
adjudicate,判決,8,8,8,procedure,0.7143,"{""procedure"": 5, ""criminal"": 2}"
adjudication,終審,8,8,8,procedure,0.5714,"{""procedure"": 4, ""international"": 2, ""administrative"": 1}"
adjusted liabilities,經調整負債,2,2,2,labor_social,0.4286,"{""criminal"": 1, ""civil"": 2, ""administrative"": 1, ""labor_social"": 3}"
administer,主持,8,8,8,administrative,0.5714,"{""administrative"": 4, ""procedure"": 1, ""constitutional"": 1, ""labor_social"": 1}"
administration,為收存財產而授予的遺產管理,8,0,0,administrative,0.4286,"{""administrative"": 3, ""labor_social"": 2, ""constitutional"": 2}"
administrator,負責收存財產的遺產管理人,8,0,0,administrative,0.5714,"{""administrative"": 4, ""labor_social"": 2, ""constitutional"": 1}"
administratrix,遺產管理人,0,8,0,administrative,0.5714,"{""administrative"": 4, ""constitutional"": 2, ""labor_social"": 1}"
